GeneID	KO_ID
Sco07g02270.1	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex
Sco07g02270.1	 which is involved in protein synthesis of a specialized repertoire of mRNAs and
Sco07g02270.1	 together with other initiation factors
Sco07g02270.1	 stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. This subunit can bind 18S rRNA
Sco08g05210.1	-
Sco08g05540.1	DDE superfamily endonuclease
Sco17g12600.1	Belongs to the universal ribosomal protein uL3 family
Sco03g12940.1	Olfactory receptor
Sco16g01060.1	unmethylated CpG binding
Sco11g01430.1	cytoskeleton-dependent cytokinesis
Sco10g00630.1	UBA-like domain-containing protein 2
Sco08g00200.1	Glycerol kinase 5
Sco05g09460.1	fibroblast growth factor-activated receptor activity
Sco10g01540.1	exocytosis
Sco17g00850.1	LicD family
Sco19g16080.1	Armadillo repeat containing 2
Sco15g12060.1	pre-mRNA catabolic process
Sco14g12250.1	DDE superfamily endonuclease
Sco06g05300.1	beta-1
Sco06g05300.1	3-galactosyl-O-glycosyl-glycoprotein beta-1
Sco06g05300.1	6-N-acetylglucosaminyltransferase activity
Sco14g13590.1	Nucleoside transporter
Sco02g07920.1	Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA
Sco17g09210.1	positive regulation of protein catabolic process
Sco06g04540.1	L-pipecolate oxidase activity
Sco01g04290.1	Ddb1 and cul4 associated factor 7
Sco14g13670.1	Helix-turn-helix of DDE superfamily endonuclease
Sco13g07060.1	-
Sco07g02660.1	histone H4-K16 acetylation
Sco14g08190.1	Zinc finger
Sco14g08190.1	 FYVE
Sco01g03140.1	Chitin binding Peritrophin-A domain
Sco06g09080.1	NAADP-sensitive calcium-release channel activity
Sco12g09000.1	Si dkey-86e18.1
Sco15g01140.1	modulation by host of viral RNA genome replication
Sco04g07770.1	V-ral simian leukemia viral oncogene homolog
Sco07g07830.1	Ribonuclease H protein
Sco06g06900.1	WD40 repeats
Sco06g06650.1	Carboxypeptidase D
Sco02g08090.1	Structural component of the gap junctions
Sco05g10320.1	phospholipase D
Sco16g04220.1	norepinephrine secretion
Sco12g00820.1	geminin
Sco12g00820.1	 DNA replication inhibitor
Sco10g00460.1	methionine-R-sulfoxide reductase activity
Sco18g09580.1	-
Sco19g12920.1	chloride channel activity
Sco17g10310.1	inositol 1
Sco17g10310.1	3
Sco17g10310.1	4
Sco17g10310.1	5 tetrakisphosphate binding
Sco14g11020.1	biogenesis factor 6
Sco01g10380.1	regulation of podosome assembly
Sco15g04710.1	ubiquitin protein ligase binding
Sco19g09800.1	spinal cord motor neuron migration
Sco19g03120.1	Transposase IS4
Sco15g01450.1	Type I phosphodiesterase / nucleotide pyrophosphatase
Sco14g00720.1	scavenger receptor activity
Sco12g01140.1	Domain of unknown function (DUF4787)
Sco17g04460.1	Golgi vesicle docking
Sco06g02980.1	Belongs to the eIF-2B alpha beta delta subunits family
Sco03g12360.1	RNA polymerase II transcriptional preinitiation complex assembly
Sco03g06260.1	deoxynucleoside triphosphate triphosphohydrolase
Sco17g03760.1	Cyclic AMP-dependent transcription factor ATF-4
Sco12g05800.1	transferase activity
Sco12g05800.1	 transferring acyl groups
Sco12g06740.1	Intracisternal A particle-promoted polypeptide
Sco19g15890.1	Major Facilitator Superfamily
Sco11g02130.1	regulation of chemokine (C-C motif) ligand 2 secretion
Sco09g01040.1	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks
Sco07g03350.1	queuine tRNA-ribosyltransferase activity
Sco01g09180.1	Somatomedin B domain
Sco08g05780.1	Belongs to the DEAD box helicase family
Sco17g07200.1	BRCA1 BRCA2-containing complex
Sco17g07200.1	 subunit 3
Sco17g04640.1	SH3 domain binding
Sco16g14260.1	glucose:sodium symporter activity
Sco11g02740.1	C-terminal of Roc
Sco11g02740.1	 COR
Sco11g02740.1	 domain
Sco07g07870.1	-
Sco03g01650.1	negative regulation of type I interferon-mediated signaling pathway
Sco03g10740.1	Component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex)
Sco03g10740.1	 which is a respiratory chain that generates an electrochemical potential coupled to ATP synthesis
Sco10g01370.1	-
Sco15g06870.1	-
Sco19g15850.1	ankyrin repeat
Sco02g06960.1	Beta subunit
Sco14g14820.1	Integrase core domain
Sco07g09170.1	TPR repeat
Sco17g08460.1	gamma-glutamyl carboxylase activity
Sco08g07990.1	-
Sco11g11870.1	microtubule-severing ATPase activity
Sco12g07670.1	Leucine rich repeat
Sco03g05410.1	Protein SYS1 homolog
Sco13g13450.1	DNA repair protein
Sco09g02750.1	Triple functional domain protein
Sco10g04460.1	serine-type exopeptidase activity
Sco03g06600.1	Cofilin/tropomyosin-type actin-binding protein
Sco03g10770.1	Protein of unknown function (DUF1279)
Sco14g10050.1	ventral spinal cord interneuron fate determination
Sco12g09620.1	dihydroceramide kinase activity
Sco16g04170.1	structural constituent of ribosome
Sco08g03640.1	APG3 autophagy 3-like
Sco05g09730.1	RNA secondary structure unwinding
Sco05g10470.1	sodium-dependent L-ascorbate transmembrane transporter activity
Sco17g17560.1	retrograde transport
Sco17g17560.1	 endosome to plasma membrane
Sco14g03720.1	threonine-type endopeptidase activity
Sco13g15560.1	Syntaxin binding protein 4
Sco10g03630.1	pri-miRNA transcription by RNA polymerase II
Sco06g08880.1	Capsular polysaccharide synthesis protein
Sco17g03530.1	Protein flightless-1 homolog
Sco16g01960.1	Essential component of the TIM23 complex
Sco16g01960.1	 a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane
Sco17g05790.1	calcium ion-regulated exocytosis of neurotransmitter
Sco19g10750.1	Scavenger receptor Cys-rich
Sco14g16910.1	protein-glucosylgalactosylhydroxylysine glucosidase activity
Sco14g16720.1	tRNA 2'-phosphotransferase 1
Sco17g02820.1	RING-type zinc-finger
Sco13g03240.1	protein dimerization activity
Sco15g09610.1	E2-like enzyme which forms an intermediate with ufm1 via a thioester linkage
Sco11g01750.1	cysteine-type endopeptidase activity
Sco02g08380.1	neurotransmitter:sodium symporter activity
Sco14g06990.1	CCAAT enhancer-binding protein zeta
Sco07g10000.1	protein K48-linked deubiquitination
Sco12g14330.1	microtubule motor activity
Sco02g09320.1	Cop9 signalosome complex subunit
Sco03g02220.1	positive regulation of TOR signaling
Sco04g02030.1	Chondroitin
Sco12g12190.1	mitochondrial proton-transporting ATP synthase complex assembly
Sco05g00180.1	A Receptor for Ubiquitination Targets
Sco02g05610.1	Receptor family ligand binding region
Sco05g10640.1	Belongs to the synaptobrevin family
Sco08g07810.1	double-strand break repair via classical nonhomologous end joining
Sco14g11130.1	EF-hand domain
Sco14g14330.1	CEP170 C-terminus
Sco10g02450.1	germ cell-less
Sco19g12850.1	DDB1 and
Sco09g04840.1	cell projection organization
Sco12g10320.1	A disintegrin and metalloproteinase with thrombospondin motifs
Sco16g14050.1	Eukaryotic-type carbonic anhydrase
Sco19g02290.1	L-gulonate 3-dehydrogenase activity
Sco19g15260.1	-
Sco01g01290.1	N-acetylglucosamine-1-phosphate transferase
Sco01g01290.1	 alpha and beta subunits
Sco10g05800.1	nmrA-like family domain-containing protein
Sco04g04650.1	Si ch73-250a16.5
Sco01g06400.1	glycogen (starch) synthase activity
Sco07g00420.1	Baculoviral IAP
Sco19g09600.1	carbohydrate binding
Sco17g08400.1	Leucine Rich repeats (2 copies)
Sco05g00100.1	MFS/sugar transport protein
Sco05g08330.1	Transmembrane adaptor Erv26
Sco06g01700.1	All-trans-retinol 13
Sco06g01700.1	14-reductase
Sco12g08900.1	triglyceride lipase activity
Sco03g02060.1	Twisted gastrulation
Sco01g05290.1	histone methyltransferase activity (H4-K20 specific)
Sco16g10850.1	homolog subfamily C member
Sco12g01580.1	WD domain
Sco12g01580.1	 G-beta repeat
Sco10g02210.1	Oxidoreductase activity. It is involved in the biological process described with oxidation-reduction process
Sco13g04630.1	Dip2/Utp12 Family
Sco13g03930.1	methyltransferase activity
Sco03g06450.1	quinolinate catabolic process
Sco03g01700.1	adenine phosphoribosyltransferase activity
Sco18g03130.1	WD repeat domain 61
Sco04g08490.1	endocytosis
Sco17g00550.1	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes
Sco17g00550.1	 including muscle contraction
Sco17g00550.1	 hormone or neurotransmitter release
Sco17g00550.1	 gene expression
Sco17g00550.1	 cell motility
Sco17g00550.1	 cell division and cell death. This channel gives rise to T-type calcium currents. T-type calcium channels belong to the low-voltage activated (LVA) group and are strongly blocked by nickel and mibefradil. A particularity of this type of channels is an opening at quite negative potentials
Sco17g00550.1	 and a voltage- dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes
Sco06g05080.1	acyl-coenzyme A oxidase 3
Sco17g03280.1	Ras-related C3 botulinum toxin substrate
Sco06g06180.1	Squamous cell carcinoma antigen recognized by
Sco15g02650.1	Angiotensin-converting enzyme
Sco02g03770.1	Arylsulfatase
Sco16g05060.1	nuclear respiratory factor 1
Sco19g07440.1	negative regulation of retrograde protein transport
Sco19g07440.1	 ER to cytosol
Sco08g02560.1	Trehalase
Sco02g05210.1	It is involved in the biological process described with protein phosphorylation
Sco02g05160.1	zinc ion binding
Sco17g05810.1	self proteolysis
Sco19g15380.1	Proton-transporting ATP synthase activity
Sco19g15380.1	 rotational mechanism. It is involved in the biological process described with ATP synthesis coupled proton transport
Sco03g03510.1	Protein kinase
Sco03g03510.1	 cGMP-dependent
Sco03g03510.1	 type
Sco05g05280.1	Heparan sulfate glucosamine 3-O-sulfotransferase 1-like
Sco17g11000.1	-
Sco18g08660.1	Phosphatidylinositol 4-phosphate 5-kinase type-1
Sco16g00820.1	acyl-CoA dehydrogenase
Sco06g11380.1	Acts as component of the retromer cargo-selective complex (CSC). The CSC is believed to be the core functional component of retromer or respective retromer complex variants acting to prevent missorting of selected transmembrane cargo proteins into the lysosomal degradation pathway
Sco02g05350.1	Glycosyl hydrolase family 9
Sco19g00130.1	Zinc metallopeptidase
Sco19g00130.1	 STE24 homolog
Sco14g15210.1	protein kinase activity
Sco09g02660.1	Microspherule protein 1
Sco14g14800.1	antioxidant activity
Sco10g02200.1	cilium assembly
Sco06g09770.1	Protein kinase C conserved region 2 (CalB)
Sco07g05660.1	Zinc finger HIT-type containing 6
Sco03g01120.1	Belongs to the class-I aminoacyl-tRNA synthetase family
Sco02g00860.1	ubiA prenyltransferase domain-containing protein 1
Sco03g05080.1	kinase 5
Sco16g10020.1	skeletal muscle satellite cell migration
Sco09g00210.1	Hyccin
Sco04g10140.1	Receptor
Sco19g06840.1	GTPase activity
Sco17g05410.1	Potassium inwardly-rectifying channel
Sco17g05410.1	 subfamily J
Sco17g05410.1	 member 15
Sco08g04560.1	WD repeat domain 44
Sco05g05910.1	peptidyl-serine dephosphorylation
Sco07g06300.1	leucine-rich repeat and IQ domain-containing protein 3
Sco02g07710.1	Cyclic nucleotide-monophosphate binding domain
Sco02g05330.1	ubiquitin protein ligase binding
Sco17g07840.1	decarboxylase domain containing 1
Sco12g08430.1	negative regulation of isotype switching to IgA isotypes
Sco16g02420.1	-
Sco11g11540.1	-
Sco15g00350.1	Belongs to the heat shock protein 70 family
Sco13g06210.1	pre-mRNA 3'-end-processing factor
Sco14g07360.1	Echinoderm microtubule associated protein like
Sco11g10360.1	Catalytic LigB subunit of aromatic ring-opening dioxygenase
Sco02g05670.1	voltage-gated potassium channel activity
Sco04g06570.1	Coiled-coil domain containing 34
Sco11g09580.1	-
Sco17g04600.1	histone acetyltransferase activity
Sco12g01980.1	Catalytic histone acetyltransferase subunit of the RNA polymerase II elongator complex
Sco12g01980.1	 which is a component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation
Sco12g09840.1	methylcrotonoyl-CoA carboxylase beta chain
Sco12g09840.1	 mitochondrial-like
Sco16g07600.1	esterase
Sco04g01900.1	negative regulation of transforming growth factor beta receptor signaling pathway
Sco19g15530.1	anandamide amidohydrolase activity
Sco01g10840.1	DDE superfamily endonuclease
Sco19g06490.1	-
Sco04g08670.1	Component of the endosomal sorting complex required for transport II (ESCRT-II)
Sco04g08670.1	 which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs
Sco16g13020.1	Belongs to the small GTPase superfamily. Arf family
Sco19g10360.1	Repeat in HS1/Cortactin
Sco11g11130.1	hAT family C-terminal dimerisation region
Sco15g06720.1	Coiled-coil domain containing 153
Sco17g18940.1	calmodulin
Sco06g07600.1	Vitamin K epoxide reductase complex subunit
Sco19g00120.1	bis(5'-adenosyl)-triphosphatase activity
Sco16g01790.1	Betaine--homocysteine S-methyltransferase 1-like
Sco15g08700.1	endocytosis
Sco09g03280.1	positive regulation of timing of anagen
Sco09g03500.1	Growth factor receptor domain IV
Sco14g10510.1	four-way junction helicase activity
Sco02g06140.1	cGMP catabolic process
Sco03g09760.1	-
Sco12g05960.1	Src kinase associated phosphoprotein 2
Sco17g07510.1	Transposase (partial DDE domain)
Sco09g00450.1	It is involved in the biological process described with proteolysis
Sco07g05560.1	Domain of unknown function (DUF4455)
Sco04g07730.1	U2 snRNA binding
Sco13g13300.1	MAP-kinase scaffold activity
Sco17g16900.1	cysteine-type endopeptidase activity
Sco06g02300.1	PAXIP1-associated glutamate-rich protein 1
Sco17g15310.1	Enoyl-CoA hydratase domain-containing protein 3
Sco18g00160.1	NADPH oxidase
Sco12g00030.1	Belongs to the actin family
Sco11g10810.1	regulation of lipid metabolic process
Sco05g07850.1	CTLH/CRA C-terminal to LisH motif domain
Sco14g15070.1	sphingolipid delta(4)-desaturase
Sco07g08960.1	Iron-binding zinc finger CDGSH type
Sco19g00630.1	Thin filament-associated protein that is implicated in the regulation and modulation of smooth muscle contraction. It is capable of binding to actin
Sco19g00630.1	 calmodulin
Sco19g00630.1	 troponin C and tropomyosin. The interaction of calponin with actin inhibits the actomyosin Mg-ATPase activity
Sco11g09900.1	cell division
Sco16g01360.1	Serine/Threonine protein kinases
Sco16g01360.1	 catalytic domain
Sco08g08820.1	Tubulin is the major constituent of microtubules. It binds two moles of GTP
Sco08g08820.1	 one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain
Sco11g10430.1	Glycosyl hydrolase family 20
Sco11g10430.1	 catalytic domain
Sco12g14170.1	positive regulation of exoribonuclease activity
Sco13g12970.1	cadherin binding
Sco19g15390.1	Methyltransferase like 25
Sco05g02120.1	Golgi transport vesicle coating
Sco16g02760.1	Universal stress protein family
Sco11g07670.1	Phytanoyl-CoA dioxygenase (PhyH)
Sco01g04120.1	convergent extension involved in somitogenesis
Sco12g14540.1	mast cell
Sco01g05390.1	-
Sco03g10610.1	Enoyl-(Acyl carrier protein) reductase
Sco13g02650.1	Methyltransferase domain
Sco09g04720.1	positive regulation of tooth mineralization
Sco14g10970.1	porphobilinogen synthase activity
Sco13g02880.1	translation initiation factor activity
Sco03g09430.1	regulation of vesicle fusion
Sco19g06090.1	ATP binding
Sco02g04180.1	Transcription factor
Sco14g08580.1	Fasciculation and elongation protein
Sco05g09970.1	2-oxobutyrate metabolic process
Sco19g10780.1	scavenger receptor activity
Sco07g05650.1	G-protein coupled GABA receptor activity
Sco08g02600.1	Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step
Sco08g02600.1	 the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A- site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites
Sco08g02600.1	 respectively. Catalyzes the coordinated movement of the two tRNA molecules
Sco08g02600.1	 the mRNA and conformational changes in the ribosome
Sco08g09270.1	Encoded by
Sco15g07470.1	Aminotransferase class I and II
Sco04g03350.1	RNA binding motif protein 48
Sco08g07660.1	Bacterial protein of unknown function (DUF885)
Sco17g10030.1	Inhibitor of nuclear factor kappa-B kinase subunit
Sco12g08490.1	Pogo transposable element with KRAB domain
Sco02g02560.1	poly ADP-ribose polymerase
Sco12g13420.1	tafazzin
Sco08g06740.1	multiple 7
Sco16g04120.1	protein xylosyltransferase activity
Sco05g02570.1	Cleavage and polyadenylation
Sco06g12920.1	Mannan polymerase II complex ANP1 subunit
Sco19g04470.1	N-terminal domain in C. elegans NRF-6 (Nose Resistant to Fluoxetine-4) and NDG-4 (resistant to nordihydroguaiaretic acid-4).
Sco04g02370.1	DDE superfamily endonuclease
Sco08g09650.1	Bacterial protein of unknown function (DUF885)
Sco06g07280.1	DNA binding
Sco07g04480.1	GDP-dissociation inhibitor activity
Sco14g07000.1	DR1-associated
Sco04g02970.1	Uncharacterized conserved protein (DUF2340)
Sco11g11970.1	Proteasome (prosome
Sco11g11970.1	 macropain) subunit
Sco11g11970.1	 alpha type
Sco11g11970.1	 4
Sco14g14840.1	Galactose oxidase
Sco14g14840.1	 central domain
Sco04g07860.1	integrin
Sco18g02000.1	RNA recognition motif
Sco10g08890.1	polyadenylation-dependent snoRNA 3'-end processing
Sco06g11970.1	voltage-gated proton channel activity
Sco09g03970.1	retinoic acid receptor activity
Sco11g09020.1	biological adhesion
Sco19g01950.1	I-kappaB kinase/NF-kappaB signaling
Sco03g07100.1	Small nuclear ribonucleoprotein sm d1
Sco08g05070.1	Beta-3 adrenergic receptor
Sco14g01240.1	serine C-palmitoyltransferase activity
Sco03g01720.1	chromatin binding
Sco07g04880.1	N-terminal domain in C. elegans NRF-6 (Nose Resistant to Fluoxetine-4) and NDG-4 (resistant to nordihydroguaiaretic acid-4).
Sco01g06220.1	Family with sequence similarity 221 member A
Sco16g02810.1	Sperm-tail PG-rich repeat
Sco06g03850.1	ubiquitin-protein transferase activity
Sco11g00110.1	Forkhead box
Sco11g03550.1	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Sco17g10330.1	Belongs to the peptidase C14A family
Sco12g03560.1	triglyceride lipase activity
Sco16g11320.1	Zgc 153845
Sco01g04870.1	negative regulation of neural crest formation
Sco18g08000.1	Protein tyrosine phosphatase
Sco18g08000.1	 receptor type
Sco18g08000.1	 M
Sco17g12630.1	nucleic acid binding
Sco02g06370.1	positive regulation of translational termination
Sco16g06820.1	Belongs to the G-protein coupled receptor 1 family
Sco14g12920.1	Protein tyrosine kinase
Sco09g00470.1	debranching
Sco19g10000.1	age-dependent response to reactive oxygen species
Sco14g04080.1	UTP:glucose-1-phosphate uridylyltransferase activity
Sco05g10590.1	calcium ion binding
Sco02g07430.1	calcium ion binding
Sco13g03110.1	asparagine--tRNA ligase
Sco13g03110.1	 mitochondrial isoform X1
Sco12g00420.1	Lipase class 3 family protein
Sco19g05700.1	Protein tyrosine phosphatase
Sco19g05700.1	 receptor type
Sco19g05700.1	 O
Sco07g02540.1	methylcrotonoyl-CoA carboxylase activity
Sco03g13140.1	apoptotic chromatin condensation inducer
Sco19g13490.1	DDE superfamily endonuclease
Sco17g17210.1	Kelch domain-containing protein 9
Sco13g12830.1	Protein phosphatase
Sco13g12830.1	 Mg2 Mn2 dependent 1K
Sco04g05760.1	Enkurin
Sco04g05760.1	 TRPC channel interacting protein
Sco04g09360.1	protein-glucosylgalactosylhydroxylysine glucosidase activity
Sco08g01990.1	Domain of unknown function (DUF4498)
Sco15g01890.1	Helix-loop-helix protein
Sco13g10430.1	extracellularly glutamate-gated ion channel activity
Sco15g12310.1	chromatin binding
Sco18g02260.1	Centrosomal protein
Sco03g08850.1	Golgi to plasma membrane protein transport
Sco07g08790.1	Zinc finger CCCH-type with G patch
Sco11g04770.1	small nuclear ribonucleoprotein 35
Sco05g11390.1	zinc ion binding
Sco12g13820.1	-
Sco14g04530.1	anterograde neuronal dense core vesicle transport
Sco14g09970.1	resolution of mitotic recombination intermediates
Sco04g09030.1	cAMP biosynthetic process
Sco16g09810.1	-
Sco06g01170.1	-
Sco04g07660.1	Component of the PeBoW complex
Sco04g07660.1	 which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome
Sco04g06740.1	Helix-loop-helix DNA-binding domain
Sco14g13140.1	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
Sco01g06680.1	PFAM AMP-dependent synthetase and ligase
Sco01g04450.1	Ligand binding domain of hormone receptors
Sco19g10370.1	Transcription factor
Sco03g09640.1	Formin homology 2 domain containing 3
Sco12g01770.1	N-terminal barrel of NtMGAM and CtMGAM
Sco12g01770.1	 maltase-glucoamylase
Sco05g01130.1	[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity
Sco03g06940.1	Forkhead box
Sco03g08400.1	CTD nuclear envelope phosphatase 1 regulatory subunit 1
Sco17g04040.1	positive regulation of spindle checkpoint
Sco09g03200.1	regulation of cyclin-dependent protein serine/threonine kinase activity
Sco10g04070.1	4-aminobutyrate aminotransferase
Sco04g00340.1	Methyltransferase FkbM domain
Sco05g06260.1	galactosylceramide catabolic process
Sco16g08440.1	BTB/POZ domain
Sco19g02570.1	Endonuclease 8-like 1
Sco05g02000.1	deadenylation-dependent decapping of nuclear-transcribed mRNA
Sco11g04650.1	4.1 protein C-terminal domain (CTD)
Sco13g05090.1	Methyltransferase domain
Sco17g17220.1	metal ion binding
Sco12g08560.1	Nuclear factor
Sco12g08560.1	 interleukin 3 regulated
Sco12g08560.1	 member
Sco03g01000.1	Sodium:neurotransmitter symporter family
Sco02g05740.1	G-protein coupled receptor activity
Sco07g05480.1	protein import into mitochondrial matrix
Sco01g01970.1	SMAD binding
Sco17g19660.1	RAB20
Sco17g19660.1	 member RAS oncogene family
Sco11g09440.1	L-aminoadipate-semialdehyde dehydrogenase activity
Sco07g08700.1	-
Sco07g05470.1	ubiquinone biosynthetic process
Sco15g09390.1	iron ion binding
Sco03g06750.1	7 transmembrane receptor (rhodopsin family)
Sco02g08260.1	glucose:sodium symporter activity
Sco07g03680.1	blood vessel endothelial cell proliferation involved in sprouting angiogenesis
Sco14g09550.1	2-hydroxyglutarate dehydrogenase activity
Sco00g00037.1	SelR domain
Sco10g05180.1	-
Sco13g04010.1	secondary active sulfate transmembrane transporter activity
Sco14g07100.1	Alanine racemase
Sco14g07100.1	 N-terminal domain
Sco04g01820.1	thioesterase 13
Sco06g04850.1	Broad-Complex
Sco06g04850.1	 Tramtrack and Bric a brac
Sco14g10060.1	UPF0364 protein C6orf211 homolog
Sco13g12560.1	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Sco03g11330.1	Biogenesis of lysosome-related organelles complex 1 subunit
Sco01g01780.1	methyltransferase-like protein 15 homolog
Sco14g06300.1	mediates the voltage-dependent sodium ion permeability of excitable membranes
Sco18g04540.1	HD domain containing 3
Sco03g00460.1	protein KIAA1143 homolog
Sco11g05100.1	-
Sco01g03210.1	Peptidase family C101
Sco05g10340.1	DNA binding
Sco12g08790.1	DNA replication
Sco15g12170.1	7 transmembrane receptor (rhodopsin family)
Sco18g09590.1	Transposase IS4
Sco02g09050.1	planar cell polarity pathway involved in neural tube closure
Sco14g05770.1	Sacsin-like
Sco04g05360.1	MULE transposase domain
Sco15g09370.1	Alternative oxidase
Sco13g01380.1	Transposase IS4
Sco06g10090.1	Ribosomal protein S6 kinase
Sco15g05950.1	Tubulin folding cofactor E-like a
Sco17g14150.1	GTP diphosphatase activity
Sco17g06250.1	sodium-dependent L-ascorbate transmembrane transporter activity
Sco11g05230.1	Metallopeptidase family M24
Sco14g05980.1	Belongs to the two pore domain potassium channel (TC 1.A.1.8) family
Sco04g02000.1	Sorbitol dehydrogenase
Sco07g00260.1	endodeoxyribonuclease activity
Sco07g00260.1	 producing 5'-phosphomonoesters
Sco13g05280.1	mRNA transport
Sco06g07720.1	ubiquitin-protein
Sco07g05370.1	Phytanoyl-CoA dioxygenase (PhyH)
Sco15g02780.1	timeless homolog
Sco03g09720.1	maturation of SSU-rRNA
Sco19g16870.1	Golgi to endosome transport
Sco17g17450.1	Calmodulin mediates the control of a large number of enzymes
Sco17g17450.1	 ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases
Sco01g08140.1	high mobility group
Sco13g00620.1	hAT family C-terminal dimerisation region
Sco17g04200.1	Catalyzes the interconversion of L-alanine and D- alanine. May also act on other amino acids
Sco11g10220.1	helicase activity
Sco07g07060.1	mitogen-activated protein kinase associated protein 1
Sco11g08190.1	Occludin homology domain
Sco16g01490.1	Thrombospondin type 1 repeats
Sco09g04130.1	Tensin like C1 domain containing phosphatase
Sco17g16770.1	structural constituent of ribosome
Sco03g07050.1	Domain of unknown function (DUF4618)
Sco17g09880.1	protein 3 homolog
Sco06g01900.1	Aminotransferase class-V
Sco14g13810.1	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg
Sco14g13810.1	 Phe
Sco14g13810.1	 Tyr
Sco14g13810.1	 Leu
Sco14g13810.1	 and Glu adjacent to the leaving group at neutral or slightly basic pH
Sco13g05640.1	proximal promoter DNA-binding transcription activator activity
Sco13g05640.1	 RNA polymerase II-specific
Sco03g02610.1	GTPase activity
Sco10g05820.1	Sodium:neurotransmitter symporter family
Sco14g04320.1	ribosomal protein
Sco17g14200.1	Meiosis-specific with OB domain-containing protein
Sco12g13100.1	nucleolar protein 10
Sco13g02100.1	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Sco13g05140.1	SUMO binding
Sco07g00480.1	Baculoviral IAP repeat-containing
Sco17g02850.1	-
Sco07g06130.1	mitochondrial respiratory chain complex IV assembly
Sco16g06860.1	negative regulation of IRE1-mediated unfolded protein response
Sco10g07800.1	positive regulation of 3'-UTR-mediated mRNA stabilization
Sco08g05410.1	-
Sco16g10630.1	EGF domain-specific O-linked N-acetylglucosamine
Sco07g02360.1	odontogenesis
Sco13g10140.1	Complement component 1
Sco13g10140.1	 q subcomponent-like 2
Sco07g09970.1	Taurine catabolism dioxygenase TauD
Sco07g09970.1	 TfdA family
Sco06g04700.1	DDE superfamily endonuclease
Sco02g05340.1	SEC62 homolog
Sco02g05340.1	 preprotein translocation factor
Sco07g07590.1	snRNA processing
Sco12g07580.1	Belongs to the small GTPase superfamily. Rho family
Sco17g19740.1	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Sco04g00390.1	Aldo/keto reductase family
Sco13g14890.1	UFM1-specific peptidase 2
Sco14g13620.1	ARF-like small GTPases; ARF
Sco14g13620.1	 ADP-ribosylation factor
Sco10g03810.1	negative regulation of smoothened signaling pathway
Sco14g07240.1	Lecithin retinol acyltransferase
Sco15g11030.1	cell surface receptor signaling pathway
Sco18g02190.1	Lipoma HMGIC fusion partner-like protein
Sco13g05160.1	RecQ protein-like 5 like
Sco11g00510.1	Domain of unknown function (DUF4371)
Sco16g03150.1	dibasic protein processing
Sco13g05990.1	Glycine receptor alpha 2
Sco03g11880.1	Calcium ion binding
Sco10g07200.1	vesicle-mediated transport
Sco06g08370.1	sphingolipid transporter activity
Sco02g00200.1	negative regulation of G2/M transition of mitotic cell cycle
Sco12g09450.1	Domain present in PSD-95
Sco12g09450.1	 Dlg
Sco12g09450.1	 and ZO-1/2.
Sco15g09520.1	High affinity cGMP-specific 3'
Sco15g09520.1	5'-cyclic phosphodiesterase
Sco15g00760.1	phosphatidylcholine transporter activity
Sco14g11010.1	member RAS oncogene family
Sco04g00860.1	Hormone receptor domain
Sco04g05840.1	Solute carrier family 1 (glial high affinity glutamate transporter)
Sco04g05840.1	 member
Sco18g03550.1	Scavenger receptor Cys-rich
Sco17g08570.1	UDP-GlcNAc betaGal beta-1
Sco17g08570.1	3-N-acetylglucosaminyltransferase-like
